제목,상영일시,감독(들),배우(들),제작비(백만달러),상영시작시점,1~4주전 트윗 수,1주전 트윗 수,제작사,"흥행 수익(달러,미국만)",관객수(흥행수익/20달러(티켓값))
Bohemian Rhapsody,2018/11/2,Bryan Singer,Mike Myers,52,4,16616,94310,Fox,69160548,3458027
The First Purge,2018/7/4,Gerard McMurray,Marisa Tomei,13,3,865,6083,Uni.,69086325,3454316
Game Night,2018/2/23,Jonathan M. Goldstein,Rachel McAdams/Jason Bateman/Jesse Plemons,37,1,7505,26754,WB (NL),69001013,3450050
Skyscraper,2018/7/13,Rawson Marshall Thurber,Dwayne Johnson/Neve Campbell,125,3,5076,23464,Uni.,67796355,3389817
The House With A Clock In Its Walls,2018/9/21,Eli Roth,Jack Black/Cate Blanchett,42,4,327,3666,Uni.,67505980,3375299
Blockers,2018/4/6,Kay Cannon,Leslie Mann/John Cena/Kathryn Newton,21,2,8797,28449,Uni.,60147900,3007395
I Feel Pretty,2018/4/20,Abby Kohn/Marc Silverstein,Michelle Williams/Emily Ratajkowski,32,2,2322,25662,STX,48795601,2439780
BlacKkKlansman,2018/8/10,Spike Lee,Topher Grace/Alec Baldwin,15,3,704,9439,Focus,48271960,2413598
Red Sparrow,2018/3/2,Francis Lawrence,Jennifer Lawrence/Matthias Schoenaerts/Jeremy Irons,69,2,2292,21135,Fox,46874505,2343725
First Man,2018/10/12,Damien Chazelle,Ryan Gosling/Claire Foy/Lukas Haas,59,4,4834,25703,Uni.,42812705,2140635
"Love, Simon",2018/3/16,Greg Berlanti,Josh Duhamel/Jennifer Garner,17,2,4989,47134,Fox,40826341,2041317
The 15:17 to Paris,2018/2/9,Clint Eastwood,Jenna Fischer,30,1,157,3130,WB,36250957,1812547
Mile 22,2018/8/17,Peter Berg,Mark Wahlberg/John Malkovich,50,3,487,13353,STX,36108758,1805437
Alpha,2018/8/17,Albert Hughes,Kodi Smit-McPhee,51,3,45293,139818,Studio 8,35808437,1790421
Peppermint,2018/9/7,Pierre Morel,Jennifer Garner,25,4,5875,19654,STX,35418723,1770936
Annihilation,2018/2/23,Alex Garland,Tessa Thompson/Natalie Portman/Oscar Isaac/Gina Rodriguez,40,1,3951,20189,Par.,32732301,1636615
Adrift,2018/6/1,Baltasar Kormakur,Shailene Woodley,35,2,1997,8390,STX,31445012,1572250
Super Troopers 2,2018/4/20,Jay Chandrasekhar,Jay Chandrasekhar/Rob Lowe/Brian Cox,13.5,2,491,7158,Fox,30617396,1530869
The Nutcracker and the Four Realms,2018/11/2,Lasse Hallstrom,Keira Knightley/Morgan Freeman/Helen Mirren,120,4,654,4419,BV,25691534,1284576
The Hate U Give,2018/10/5,"George Tillman, Jr.",Regina Hall/Anthony Mackie/Common,23,4,2132,6598,Fox,24635883,1231794
Nobody's Fool,2018/11/2,Tyler Perry,Tiffany Haddish,19,4,315,3118,Par.,17736108,886805
Operation Finale,2018/8/29,Chris Weitz,Oscar Isaac/Ben Kingsley/Melanie Laurent,24,3,232,5040,MGM,17611461,880573
Bad Times At The El Royale,2018/10/12,Drew Goddard,Dakota Johnson/Chris Hemsworth/Jon Hamm/Jeff Bridges,32,4,553,5476,Fox,17602294,880114
The Darkest Minds,2018/8/3,Jennifer Yuh Nelson,Mandy Moore,34,3,509,4146,Fox,12695691,634784
Beauty and the Beast (2017),2017/3/17,Bill Condon,Emma Watson/Luke Evans/Emma Thompson/Kevin Kline/Dan Stevens/Ewan McGregor/Stanley Tucci/Ian McKellen/Josh Gad,160,2,898,4270,BV,504014165,25200708
Jumanji:Welcome to the Jungle,2017/12/20,Jake Kasdan,Dwayne Johnson/Jack Black/Kevin Hart/Karen Gillan/Nick Jonas,90,1,234,1276,Sony,404515480,20225774
Guardians of the Galaxy Vol. 2,2017/5/5,James Gunn,Michael Rooker/Chris Pratt/Zoe Saldana/Dave Bautista/Vin Diesel/Bradley Cooper/Karen Gillan/Elizabeth Debicki/Kurt Russell/Sylvester Stallone,200,2,340,1080,BV,389813101,19490655
Thor:Ragnarok,2017/11/3,Taika Waititi,Chris Hemsworth/Mark Ruffalo/Cate Blanchett/Jeff Goldblum/Tessa Thompson/Karl Urban/Anthony Hopkins/Tom Hiddleston/Idris Elba/Benedict Cumberbatch,180,4,580,800,BV,315058289,15752914
Despicable Me 3,2017/6/30,Pierre Coffin,Steve Carell/Trey Parker/Kristen Wiig/Steve Coogan/Julie Andrews,80,2,200,1160,Uni.,264624300,13231215
The Fate of the Furious,2017/4/14,F. Gary Gray,Vin Diesel/Dwayne Johnson/Tyrese Gibson/Charlize Theron/Michelle Rodriguez/Helen Mirren/Chris 'Ludacris' Bridges/Jason Statham/Kristofer Hivju/Kurt Russell,250,2,3538,33169,Uni.,226008385,11300419
Dunkirk,2017/7/21,Christopher Nolan,Mark Rylance/Kenneth Branagh/Tom Hardy/Cillian Murphy,100,3,7481,155345,WB,188045546,9402277
Get Out,2017/2/24,Jordan Peele,Lakeith Stanfield,4.5,1,174596,0,Uni.,176040665,8802033
Pirates of the Caribbean:Dead Men Tell No Tales,2017/5/26,Joachim Ronning/Espen Sandberg,Johnny Depp/Javier Bardem/Brenton Thwaites/Geoffrey Rush/Orlando Bloom,230,2,741,9365,BV,172558876,8627943
Kong:Skull Island,2017/3/10,Jordan Vogt-Roberts,Tom Hiddleston/Brie Larson/Samuel L. Jackson/John Goodman/John C. Reilly/Thomas Mann,185,2,1641,26900,WB,168052812,8402640
War for the Planet of the Apes,2017/7/14,Matt Reeves,Andy Serkis/Woody Harrelson,150,3,2096,16361,Fox,146880162,7344008
Transformers:The Last Knight,2017/6/21,Michael Bay,Mark Wahlberg/Anthony Hopkins/Josh Duhamel/Stanley Tucci/Omar Sy/John Goodman,217,2,2285,14858,Par.,130168683,6508434
Girls Trip,2017/7/21,Malcolm D. Lee,Jada Pinkett-Smith/Queen Latifah/Regina Hall/Tiffany Haddish,19,3,3455,20487,Uni.,115171585,5758579
Fifty Shades Darker,2017/2/10,James Foley,Kim Basinger/Dakota Johnson,55,1,9323,72949,Uni.,114581250,5729062
Baby Driver,2017/6/28,Edgar Wright,Ansel Elgort/Jon Hamm/Kevin Spacey/Jamie Foxx,34,2,5305,29233,TriS,107825862,5391293
Daddy's Home 2,2017/11/10,Sean Anders,Mark Wahlberg/Will Ferrell/Mel Gibson/John Cena,69,4,325,4390,Par.,104029443,5201472
Murder on the Orient Express (2017),2017/11/10,Kenneth Branagh,Kenneth Branagh/Johnny Depp/Michelle Pfeiffer/Daisy Ridley/Judi Dench/Michael Pena/Penelope Cruz/Willem Dafoe/Josh Gad,55,4,81,586,Fox,102826543,5141327
Kingsman:The Golden Circle,2017/9/22,Matthew Vaughn,Taron Egerton/Sophie Cookson/Channing Tatum/Halle Berry/Colin Firth/Julianne Moore/Mark Strong/Jeff Bridges,104,4,999,13452,Fox,100234838,5011741
Blade Runner 2049,2017/10/6,Denis Villeneuve,Ryan Gosling/Harrison Ford/Robin Wright/Jared Leto/Dave Bautista,150,4,4354,52372,WB,92054159,4602707
Power Rangers (2017),2017/3/24,Dean Israelite,Elizabeth Banks/Bryan Cranston,100,2,723,3287,LGF,85364450,4268222
Ferdinand,2017/12/15,Carlos Saldanha,John Cena/Gina Rodriguez/Boris Kodjoe/Carlos Saldanha,111,1,5674,20753,Fox,84410380,4220519
The Mummy (2017),2017/6/9,Alex Kurtzman,Tom Cruise/Sofia Boutella/Russell Crowe,125,2,570,2155,Uni.,80227895,4011394
The Hitman's Bodyguard,2017/8/18,Patrick Hughes,Ryan Reynolds/Samuel L. Jackson/Salma Hayek/Gary Oldman,30,3,493,4526,LG/S,75468583,3773429
Alien:Covenant,2017/5/19,Ridley Scott,Michael Fassbender/Katherine Waterston/Danny McBride/Billy Crudup,97,2,7897,44707,Fox,74262031,3713101
Captain Underpants:The First Epic Movie,2017/6/2,David Soren,Kevin Hart/Ed Helms/Jordan Peele,38,2,176,1320,Fox,73921000,3696050
A Bad Moms Christmas,2017/11/1,Jon Lucas/Scott Moore,Mila Kunis/Kristen Bell/Susan Sarandon,28,4,110,3544,STX,72110659,3605532
A Dog's Purpose,2017/1/27,Lasse Hallstrom,Dennis Quaid,22,1,2662,38436,Uni.,64508620,3225431
Baywatch,2017/5/25,Seth Gordon,Zac Efron/Dwayne Johnson,69,2,5642,39794,Par.,58060186,2903009
Atomic Blonde,2017/7/28,David Leitch,Charlize Theron/James McAvoy/John Goodman/Sofia Boutella,30,3,4046,26055,Focus,51687870,2584393
American Made,2017/9/29,Doug Liman,Tom Cruise/Jesse Plemons,50,4,4616,12485,Uni.,51342000,2567100
Tyler Perry's Boo 2! A Madea Halloween,2017/10/20,Tyler Perry,Tyler Perry,25,4,14,337,LGF,47319572,2365978
The Great Wall,2017/2/17,Zhang Yimou,Willem Dafoe/Matt Damon,150,6,7341,19756,Uni.,45540830,2277041
Smurfs:The Lost Village,2017/4/7,Kelly Asbury,Julia Roberts/Michelle Rodriguez,60,2,1015,6796,Sony,45020282,2251014
Going in Style (2017),2017/4/7,Zach Braff,Michael Caine/Matt Dillon/Morgan Freeman/Joey King,25,2,15,177,WB (NL),45018541,2250927
xXx:The Return of Xander Cage,2017/1/20,D.J. Caruso,Vin Diesel/Donnie Yen/Samuel L. Jackson/Toni Collette/Tony Jaa/Ice Cube,85,1,310,2479,Par.,44898413,2244920
Valerian and the City of a Thousand Planets,2017/7/21,Luc Besson,Cara Delevingne/Dane DeHaan/Clive Owen/Rihanna/Ethan Hawke/Rutger Hauer,177.2,3,364,6245,STX,41189488,2059474
Ghost in the Shell (2017),2017/3/31,Rupert Sanders,Scarlett Johansson,110,2,945,3660,Par.,40563557,2028177
King Arthur:Legend of the Sword,2017/5/12,Guy Ritchie,Jude Law/Djimon Hounsou/Eric Bana,175,2,416,7497,WB,39175066,1958753
American Assassin,2017/9/15,Michael Cuesta,Michael Keaton/Taylor Kitsch/Sanaa Lathan,33,4,3039,15375,LGF,36249674,1812483
The Foreigner,2017/10/13,Martin Campbell,Jackie Chan/Pierce Brosnan,35,4,828,8512,STX,34393507,1719675
Geostorm,2017/10/20,Dean Devlin,Gerard Butler,120,4,1262,14247,WB,33700160,1685008
The Nut Job 2:Nutty by Nature,2017/8/11,Cal Brunker,Katherine Heigl/Jackie Chan,40,3,196,1041,ORF,28370522,1418526
Resident Evil:The Final Chapter,2017/1/27,Paul W.S. Anderson,Milla Jovovich,40,1,597,6304,SGem,26830068,1341503
Downsizing,2017/12/22,Alexander Payne,Matt Damon/Kristen Wiig/Neil Patrick Harris/Christoph Waltz/Jason Sudeikis,68,1,2592,19962,Par.,24449754,1222487
Rogue One:A Star Wars Story,2016/12/16,Gareth Edwards,Felicity Jones/Mads Mikkelsen/Alan Tudyk/Donnie Yen/Forest Whitaker/Diego Luna/Anthony Daniels*,200,1,3987,35466,BV,532177324,26608866
Captain America:Civil War,2016/5/6,Anthony Russo/Joe Russo,"Chris Evans/Robert Downey, Jr./Scarlett Johansson/Sebastian Stan/Anthony Mackie/Paul Bettany/Jeremy Renner/Don Cheadle/Elizabeth Olsen/Paul Rudd/Chadwick Boseman/Frank Grillo/William Hurt/Martin Freeman/Tom Holland/Marisa Tomei",250,2,31013,143432,BV,408084349,20404217
The Secret Life of Pets,2016/7/8,Chris Renaud,Dana Carvey*/Kevin Hart,75,3,2801,22862,Uni.,368384330,18419216
The Jungle Book (2016),2016/4/15,Jon Favreau,Scarlett Johansson/Idris Elba/Lupita Nyong'o/Ben Kingsley/Christopher Walken/Bill Murray,175,2,351,2546,BV,364001123,18200056
Batman v Superman:Dawn of Justice,2016/3/25,Zack Snyder,Henry Cavill/Ben Affleck/Gal Gadot/Jesse Eisenberg/Jeremy Irons/Amy Adams/Laurence Fishburne/Diane Lane/Holly Hunter/Kevin Costner*,250,2,5099,43881,WB,330360194,16518009
Fantastic Beasts and Where To Find Them,2016/11/18,David Yates,Eddie Redmayne/Katherine Waterston/Ezra Miller/Dan Fogler/Colin Farrell/Jon Voight/Ron Perlman,180,4,2071,21452,WB,234037575,11701878
Doctor Strange,2016/11/4,Scott Derrickson,Benedict Cumberbatch/Tilda Swinton/Chiwetel Ejiofor/Rachel McAdams/Mads Mikkelsen,165,4,17081,158922,BV,232641920,11632096
Hidden Figures,2016/12/25,Theodore Melfi,Taraji P. Henson/Octavia Spencer/Kirsten Dunst/Kevin Costner/Mahershala Ali,25,1,7023,25559,Fox,169607287,8480364
Jason Bourne,2016/7/29,Paul Greengrass,Matt Damon/Tommy Lee Jones/Julia Stiles/Alicia Vikander,120,3,5897,51286,Uni.,162434410,8121720
Star Trek Beyond,2016/7/22,Justin Lin,Sofia Boutella/Idris Elba/Simon Pegg/Chris Pine/Zoe Saldana/Karl Urban/Anton Yelchin,185,3,14221,54215,Par.,158848340,7942417
La La Land,2016/12/9,Damien Chazelle,Ryan Gosling/Emma Stone,30,1,3951,26810,LG/S,151101803,7555090
Kung Fu Panda 3,2016/1/29,Jennifer Yuh Nelson,Jack Black/Jackie Chan/Bryan Cranston/Dustin Hoffman/Kate Hudson/Angelina Jolie/Lucy Liu/Seth Rogen,145,1,1447,16338,Fox,143528619,7176430
Ghostbusters (2016),2016/7/15,Paul Feig,Sigourney Weaver*/Melissa McCarthy/Kristen Wiig/Michael K. Williams/Chris Hemsworth,144,3,800,7636,Sony,128350574,6417528
Central Intelligence,2016/6/17,Rawson Marshall Thurber,Kumail Nanjiani/Dwayne Johnson/Kevin Hart/Amy Ryan,50,2,1731,15508,WB (NL),127440871,6372043
The Legend of Tarzan,2016/7/1,David Yates,Alexander Skarsgård/Samuel L. Jackson/Margot Robbie/Christoph Waltz/Djimon Hounsou,180,3,1571,10050,WB,126643061,6332153
Sully,2016/9/9,Clint Eastwood,Aaron Eckhart/Tom Hanks/Laura Linney,60,4,7496,42580,WB,125070033,6253501
Bad Moms,2016/7/29,Jon Lucas/Scott Moore,Mila Kunis/Kristen Bell/Christina Applegate/Jada Pinkett-Smith/Clark Duke,20,3,2534,37321,STX,113257297,5662864
Independence Day:Resurgence,2016/6/24,Roland Emmerich,Liam Hemsworth/Jeff Goldblum/Brent Spiner/Joey King,165,2,2058,17852,Fox,103144286,5157214
The Conjuring 2,2016/6/10,James Wan,Vera Farmiga/Patrick Wilson,40,2,3942,33289,WB (NL),102470008,5123500
Passengers (2016),2016/12/21,Morten Tyldum,Jennifer Lawrence/Chris Pratt/Michael Sheen/Laurence Fishburne,110,1,567,1848,Sony,100014699,5000734
